City,State,link_data
Pittsburgh, PA,"https://www.glassdoor.com/Job/pittsburgh-data-jobs-SRCH_IL.0,10_IC1152990_KE11,15_IP1.htm?radius=0"
St-Louis, MO,"https://www.glassdoor.com/Job/saint-louis-data-jobs-SRCH_IL.0,11_IC1131270_KE12,16_IP1.htm?radius=0"
Indianapolis, IN,"https://www.glassdoor.com/Job/indianapolis-data-jobs-SRCH_IL.0,12_IC1145013_KE13,17_IP1.htm?radius=0"
Cincinnati, OH,"https://www.glassdoor.com/Job/cincinnati-data-jobs-SRCH_IL.0,10_IC1145705_KE11,15_IP1.htm?radius=0"
Hartford, CT,"https://www.glassdoor.com/Job/hartford-data-jobs-SRCH_IL.0,8_IC1148399_KE9,13_IP1.htm?radius=0"
Boston, MA,"https://www.glassdoor.com/Job/boston-data-jobs-SRCH_IL.0,6_IC1154532_KE7,11_IP1.htm?radius=0"
Memphis, TN,"https://www.glassdoor.com/Job/memphis-data-jobs-SRCH_IL.0,7_IC1144463_KE8,12_IP1.htm?radius=0"
Raleigh, NC,"https://www.glassdoor.com/Job/raleigh-data-jobs-SRCH_IL.0,7_IC1138960_KE8,12_IP1.htm?radius=0"
Cleveland, OH,"https://www.glassdoor.com/Job/cleveland-data-jobs-SRCH_IL.0,9_IC1145778_KE10,14_IP1.htm?radius=0"
Detroit, MI,"https://www.glassdoor.com/Job/detroit-data-jobs-SRCH_IL.0,7_IC1134644_KE8,12_IP1.htm?radius=0"
Kansas-City, MO,"https://www.glassdoor.com/Job/kansas-city-data-jobs-SRCH_IL.0,11_IC1131040_KE12,16_IP1.htm?radius=0"
Washington, DC,"https://www.glassdoor.com/Job/washington-data-jobs-SRCH_IL.0,10_IC1138213_KE11,15_IP1.htm?radius=0"
Birmingham, AL,"https://www.glassdoor.com/Job/birmingham-data-jobs-SRCH_IL.0,10_IC1127429_KE11,15_IP1.htm?radius=0"
Chicago, IL,"https://www.glassdoor.com/Job/chicago-data-jobs-SRCH_IL.0,7_IC1128808_KE8,12_IP1.htm?radius=0"
Columbus, OH,"https://www.glassdoor.com/Job/columbus-data-jobs-SRCH_IL.0,8_IC1145845_KE9,13_IP1.htm?radius=0"
Louisville, KY,"https://www.glassdoor.com/Job/louisville-data-jobs-SRCH_IL.0,10_IC1137724_KE11,15_IP1.htm?radius=0"
Baltimore, MD,"https://www.glassdoor.com/Job/baltimore-data-jobs-SRCH_IL.0,9_IC1153527_KE10,14_IP1.htm?radius=0"
Philadelphia, PA,"https://www.glassdoor.com/Job/philadelphia-data-jobs-SRCH_IL.0,12_IC1152672_KE13,17_IP1.htm?radius=0"
Atlanta, GA,"https://www.glassdoor.com/Job/atlanta-data-jobs-SRCH_IL.0,7_IC1155583_KE8,12_IP1.htm?radius=0"
Oklahoma-City, OK,"https://www.glassdoor.com/Job/oklahoma-city-data-jobs-SRCH_IL.0,13_IC1136950_KE14,18_IP1.htm?radius=0"
Minneapolis-St-Paul, MN,"https://www.glassdoor.com/Job/minneapolis-data-jobs-SRCH_IL.0,11_IC1142551_KE12,16_IP1.htm?radius=0"
San-Francisco, CA,"https://www.glassdoor.com/Job/san-francisco-data-jobs-SRCH_IL.0,13_IC1147401_KE14,18_IP1.htm?radius=0"
Seattle, WA,"https://www.glassdoor.com/Job/seattle-data-jobs-SRCH_IL.0,7_IC1150505_KE8,12_IP1.htm?radius=0"
Richmond, VA,"https://www.glassdoor.com/Job/richmond-data-jobs-SRCH_IL.0,8_IC1130198_KE9,13_IP1.htm?radius=0"
Charlotte, NC,"https://www.glassdoor.com/Job/charlotte-data-jobs-SRCH_IL.0,9_IC1138644_KE10,14_IP1.htm?radius=0"
